模块,课程,项目主管,每期天数,期数,培训费,均价,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,备注
综合管理,首席财务官高级研修班（第34期）,王春懿,15,1,44800,2987,,,,,,11-13/上海,16-18/上海,13-15/上海,17-19/上海,15-17/上海,,,
,企业经营管理“头雁人才”培养计划――产融结合助力新质生产力培育研修班（第2期）,于学涛,17,1,68000,4000,,,,,,,,,,,,,
,财务精英的战略与商业课程,曹巧波,15,1,68000,4533,,,,,,,17-19/上海,,18-20/上海,23-25/上海,12-14/上海,10-12/上海,
,国有企业高级财务管理人员研修班,王春懿,5,1,9800,1960,,,,,"14-16上海
30-31/线上",,,,,,,,
,AI浪潮下财务人员履职能力提升,曹宁,4,4,6800,1700,,,,23-26/上海,,,29-1/上海,,16-19/上海,,25-28/上海,,
非财高管,非财高管的财报分析与管理决策,钱梦敏,2,2,9800,4900,,,,11-12/上海,,,,8-9上海,,,,,
,非财高管的财务管理与价值创造,曹宁,3,2,6800,2267,,,,,,2-4/上海,,,,,6-8/上海,,
管理会计,业财融合实务与财务BP核心能力建设,马晓楚,3,2,线上5100/线下6000,2000,,,,,,,27-29/上海,,,26-28/上海,,,
,一利五率指标体系与企业高质量发展,王春懿,2,2,4000,2000,,,26-27/上海,,,25-26/上海院外,,,,,,,
,全面预算管理体系建设与标杆企业实践,钱梦敏,3,3,线上5100/线下6000,2267,,,,,21-23/成都,,,20-22/沈阳,,,19-21/深圳,,
,企业成本管控全流程优化：方法、工具与难点、痛点解析,胡洁,2,2,线上3400/线下4000,2000,,,24-25/上海,,,23-24/上海,,,,,,,
,全面预算管理与成本控制,胡洁,2,2,4000,2000,,,,27-28/上海,,,,,17-18/青岛,,,,
公司金融,公司并购与重组,曹宁,5,3,9800,1960,,,,,26-30/上海,,,26-30/上海,,,24-28/上海,,
,企业IPO财税规范,曹宁,3,1,6800,2267,,,,,,,,,11-13/上海,,,,
,市值管理实务与案例,王春懿,2,3,4900,2450,,,,,22-24/上海,,24-26/上海,,,30-1/上海,,,
,公司估值与企业价值管理,于学涛,2,1,4500,2250,,,,,,,,,,16-17/上海,,,
,财务分析与企业价值创造,钱梦敏,2,2,9800,4900,,,,,14-15/上海,,,,,,12-14/上海,,
,微咨询课程：资金管理与司库体系建设,马晓楚,2,1,4800,2400,,,,,,,,,,,20-21/上海,,
风险合规,企业数字化内控实践,杨子沣,2,2,线上3400/线下4000,2000,,,,,,25-26/杭州,,,,22-23/上海,,,
,微咨询课程：穿透式监管视角下的企业内控升级与一流企业风险管控实践,马晓楚,3,2,线上4800/线下5600,1867,,,30-1/上海,,,,21-23/上海院外,,,,,,
,内部控制审计实务与案例,曹巧波,2,2,4000,2000,,,,,,27-28/上海,,,,,31-1/上海,,
,高风险业务经营价值挖掘与风控实务,胡洁,2,2,线上3400/线下4000,2000,,,27-28/上海,,,,,,21-22/青岛,,,,
内审实务,内部审计负责人与后备人才岗位能力提升,王春懿,3,2,6800,2267,,,,16-19/上海,,,,,,,20-22/上海,,
,内部审计专业能力提升：高舞弊业务审计实务与案例,王春懿,2,2,4200,2100,,,,16-17/上海,,,,,12-13/杭州,,,,
,“人工智能+”驱动下的内部审计管理与变革,曹宁,2,2,4200,2100,,,28-29/杭州,,,,25-26/上海,,,,,,
,风险导向审计实务与案例,王春懿,2,1,4000,2000,,,,,,,,,,,,16-17/上海,
,工程项目审计实务,曹宁,2,6,线上3400/线下4000,2000,22-23/上海,,24-25/苏州,,19-20/宁波,,21-22/贵阳,,22-23/青岛,,24-25/深圳,,
,中国企业出海系列课程：海外审计创新实践与风险治理专题,王春懿,2,1,4800,2400,,,,,,27-28/上海,,,,,,,
,AI浪潮下采购全流程风险管理与审计实务,王春懿,2,3,线上3900/线下4500,2250,,,19-20/合肥,,,,23-25/成都,,,,26-27/广州,,
,经济责任审计实务与案例：穿透式核查与整改闭环管理,王春懿,2,3,线上3400/线下4000,2000,,,,,14-15/杭州,,,20-21/宁波,,22-23/武汉,,,
,合规审计与反舞弊调查,王春懿,3,3,5600,1867,14-16/上海,,,,,,,25-27/宁波,,,,9-11/上海,
数智转型,走进蒙牛：数字化转型之智慧财务共享,钱梦敏,2,1,6800,3400,,,,,,11-12/呼和浩特,,,,,,,
,走进美的数字化高级研修班,曹宁,2,2,6800,3400,,,,,21-22/顺德,,,20-21/顺德,,,,,
,拥抱AI系列课程：美的AI工作坊,曹宁,2,2,6800,3400,,,,29-30/上海,,,,,,29-30/上海,,,
,拥抱AI系列课程：AI赋能智能财务创新与实践,曹巧波,2,3,4000,2000,,,,24-25/上海,,,31-1/上海,,,,20-21/上海,,
,人工智能大模型财务应用暨电子凭证会计数据标准应用与会计档案无纸化,王春懿,2,2,4500,2250,22-23/上海,,,,,,,,9-10/上海院外,,,,
会计准则,会计准则执行中热点难点问题解析,钱梦敏,2,2,线上3400/线下4000,2000,,,,21-22/长沙,,25-26/青岛,,,,,,,
税务管理,名师课堂：税务专题课程（模块制）,马晓楚,16,1,32000/9800（单模块）,2000,,,26-29/上海,,21-24/上海,,23-26/上海,,17-20/上海,,26-29/上海,,
,新型监管机制下的企业税务稽查与风险应对,马晓楚,3,1,5600,1867,,,,,,22-24/青岛,,,,,,,
,股权交易、股权架构设计与并购重组的税务风险排查与实案演练,于学涛,3,2,5600,1867,,,,20-22/上海院外,,,,26-28/上海,,,,,
,增值税法及实施条例全面解析与风险防范,马晓楚,2,2,4000,2000,17-18/上海,,,,,,,,,26-27/武汉,,,
行业课程,中国企业出海系列课程：事务所跨境服务专题,曹宁,2,2,4800,2400,,,,,,26-27/上海,,,26-27/上海,,,,
,中国企业出海系列课程：财税合规专题,曹宁,2,2,4800,2400,,,,,22-23/上海,,,,,30-31/上海,,,
,中国企业出海系列课程：跨境电商专题,曹宁,3,1,5600,1867,,,,,,22-24/上海,,,,,,,
,破产业务综合能力提升,马晓楚,2,1,3000,1500,,,,,,,,24-25/上海,,,,,
,事务所核心能力进阶研修班,马晓楚,3,2,4500,1500,,,,,,,24-26/上海,,,16-18/上海,,,
,,,,91,,,4,,8,9,10,12,12,9,11,11,13,3,
